X--Trace 1::[V(vi)],Y--Trace 1::[V(vi)],,X--Trace 2::[V(vo)],Y--Trace 2::[V(vo)],,,,
0.01314,0.01314,,0.01314,1.31431,,0.000310,,
0.01316,0.01316,,0.01316,1.31631,,0.000310,,
0.01318,0.01318,,0.01318,1.31831,,0.000310,,
0.0132,0.0132,,0.0132,1.32031,,0.000310,,
0.01322,0.01322,,0.01322,1.32231,,0.000310,,
0.01324,0.01324,,0.01324,1.32431,,0.000310,,
0.01326,0.01326,,0.01326,1.32631,,0.000310,,
0.01328,0.01328,,0.01328,1.32831,,0.000310,,
0.0133,0.0133,,0.0133,1.33031,,0.000310,,
0.01332,0.01332,,0.01332,1.33231,,0.000310,,
0.01334,0.01334,,0.01334,1.33431,,0.000310,,
0.01336,0.01336,,0.01336,1.33631,,0.000310,,
0.01338,0.01338,,0.01338,1.33831,,0.000310,,
0.0134,0.0134,,0.0134,1.34031,,0.000310,,
0.01342,0.01342,,0.01342,1.34231,,0.000310,,
0.01344,0.01344,,0.01344,1.34431,,0.000310,,
0.01346,0.01346,,0.01346,1.34631,,0.000310,,
0.01348,0.01348,,0.01348,1.34831,,0.000310,,
0.0135,0.0135,,0.0135,1.35031,,0.000310,,
0.01352,0.01352,,0.01352,1.35231,,0.000310,,
0.01354,0.01354,,0.01354,1.35431,,0.000310,,
0.01356,0.01356,,0.01356,1.35631,,0.000310,,
0.01358,0.01358,,0.01358,1.35831,,0.000310,,
0.0136,0.0136,,0.0136,1.36031,,0.000310,,
0.01362,0.01362,,0.01362,1.36231,,0.000310,,
0.01364,0.01364,,0.01364,1.36431,,0.000310,,
0.01366,0.01366,,0.01366,1.36631,,0.000310,,
0.01368,0.01368,,0.01368,1.36831,,0.000310,,
0.0137,0.0137,,0.0137,1.37031,,0.000310,,
0.01372,0.01372,,0.01372,1.37231,,0.000310,,
0.01374,0.01374,,0.01374,1.37431,,0.000310,,
0.01376,0.01376,,0.01376,1.37631,,0.000310,,
0.01378,0.01378,,0.01378,1.37831,,0.000310,,
0.0138,0.0138,,0.0138,1.38031,,0.000310,,
0.01382,0.01382,,0.01382,1.38231,,0.000310,,
0.01384,0.01384,,0.01384,1.38431,,0.000310,,
0.01386,0.01386,,0.01386,1.38631,,0.000310,,
0.01388,0.01388,,0.01388,1.38831,,0.000310,,
0.0139,0.0139,,0.0139,1.39031,,0.000310,,
0.01392,0.01392,,0.01392,1.39231,,0.000310,,
0.01394,0.01394,,0.01394,1.39431,,0.000310,,
0.01396,0.01396,,0.01396,1.39631,,0.000310,,
0.01398,0.01398,,0.01398,1.39831,,0.000310,,
0.014,0.014,,0.014,1.40031,,0.000310,,
0.01402,0.01402,,0.01402,1.40231,,0.000310,,
0.01404,0.01404,,0.01404,1.40431,,0.000310,,
0.01406,0.01406,,0.01406,1.40631,,0.000310,,
0.01408,0.01408,,0.01408,1.40831,,0.000310,,
0.0141,0.0141,,0.0141,1.4103,,0.000300,,
0.01412,0.01412,,0.01412,1.4123,,0.000300,,
0.01414,0.01414,,0.01414,1.4143,,0.000300,,
0.01416,0.01416,,0.01416,1.4163,,0.000300,,
0.01418,0.01418,,0.01418,1.4183,,0.000300,,
0.0142,0.0142,,0.0142,1.4203,,0.000300,,
0.01422,0.01422,,0.01422,1.4223,,0.000300,,
0.01424,0.01424,,0.01424,1.4243,,0.000300,,
0.01426,0.01426,,0.01426,1.4263,,0.000300,,
0.01428,0.01428,,0.01428,1.4283,,0.000300,,
0.0143,0.0143,,0.0143,1.4303,,0.000300,,
0.01432,0.01432,,0.01432,1.4323,,0.000300,,
0.01434,0.01434,,0.01434,1.4343,,0.000300,,
0.01436,0.01436,,0.01436,1.4363,,0.000300,,
0.01438,0.01438,,0.01438,1.4383,,0.000300,,
0.0144,0.0144,,0.0144,1.4403,,0.000300,,
0.01442,0.01442,,0.01442,1.4423,,0.000300,,
0.01444,0.01444,,0.01444,1.4443,,0.000300,,
0.01446,0.01446,,0.01446,1.4463,,0.000300,,
0.01448,0.01448,,0.01448,1.4483,,0.000300,,
0.0145,0.0145,,0.0145,1.4503,,0.000300,,
0.01452,0.01452,,0.01452,1.4523,,0.000300,,
0.01454,0.01454,,0.01454,1.4543,,0.000300,,
0.01456,0.01456,,0.01456,1.4563,,0.000300,,
0.01458,0.01458,,0.01458,1.4583,,0.000300,,
0.0146,0.0146,,0.0146,1.4603,,0.000300,,
0.01462,0.01462,,0.01462,1.4623,,0.000300,,
0.01464,0.01464,,0.01464,1.4643,,0.000300,,
0.01466,0.01466,,0.01466,1.4663,,0.000300,,
0.01468,0.01468,,0.01468,1.4683,,0.000300,,
0.0147,0.0147,,0.0147,1.4703,,0.000300,,
0.01472,0.01472,,0.01472,1.4723,,0.000300,,
0.01474,0.01474,,0.01474,1.4743,,0.000300,,
0.01476,0.01476,,0.01476,1.4763,,0.000300,,
0.01478,0.01478,,0.01478,1.4783,,0.000300,,
0.0148,0.0148,,0.0148,1.4803,,0.000300,,
0.01482,0.01482,,0.01482,1.4823,,0.000300,,
0.01484,0.01484,,0.01484,1.4843,,0.000300,,
0.01486,0.01486,,0.01486,1.4863,,0.000300,,
0.01488,0.01488,,0.01488,1.4883,,0.000300,,
0.0149,0.0149,,0.0149,1.4903,,0.000300,,
0.01492,0.01492,,0.01492,1.4923,,0.000300,,
0.01494,0.01494,,0.01494,1.4943,,0.000300,,
0.01496,0.01496,,0.01496,1.4963,,0.000300,,
0.01498,0.01498,,0.01498,1.4983,,0.000300,,
0.015,0.015,,0.015,1.5003,,0.000300,,
0.01502,0.01502,,0.01502,1.5023,,0.000300,,
0.01504,0.01504,,0.01504,1.5043,,0.000300,,
0.01506,0.01506,,0.01506,1.5063,,0.000300,,
0.01508,0.01508,,0.01508,1.5083,,0.000300,,
0.0151,0.0151,,0.0151,1.5103,,0.000300,,
0.01512,0.01512,,0.01512,1.5123,,0.000300,,
0.01514,0.01514,,0.01514,1.5143,,0.000300,,
0.01516,0.01516,,0.01516,1.5163,,0.000300,,
0.01518,0.01518,,0.01518,1.5183,,0.000300,,
0.0152,0.0152,,0.0152,1.5203,,0.000300,,
0.01522,0.01522,,0.01522,1.5223,,0.000300,,
0.01524,0.01524,,0.01524,1.5243,,0.000300,,
0.01526,0.01526,,0.01526,1.5263,,0.000300,,
0.01528,0.01528,,0.01528,1.5283,,0.000300,,
0.0153,0.0153,,0.0153,1.5303,,0.000300,,
0.01532,0.01532,,0.01532,1.5323,,0.000300,,
0.01534,0.01534,,0.01534,1.5343,,0.000300,,
0.01536,0.01536,,0.01536,1.5363,,0.000300,,
0.01538,0.01538,,0.01538,1.5383,,0.000300,,
0.0154,0.0154,,0.0154,1.5403,,0.000300,,
0.01542,0.01542,,0.01542,1.5423,,0.000300,,
0.01544,0.01544,,0.01544,1.5443,,0.000300,,
0.01546,0.01546,,0.01546,1.5463,,0.000300,,
0.01548,0.01548,,0.01548,1.5483,,0.000300,,
0.0155,0.0155,,0.0155,1.5503,,0.000300,,
0.01552,0.01552,,0.01552,1.5523,,0.000300,,
0.01554,0.01554,,0.01554,1.5543,,0.000300,,
0.01556,0.01556,,0.01556,1.5563,,0.000300,,
0.01558,0.01558,,0.01558,1.5583,,0.000300,,
0.0156,0.0156,,0.0156,1.5603,,0.000300,,
0.01562,0.01562,,0.01562,1.5623,,0.000300,,
0.01564,0.01564,,0.01564,1.5643,,0.000300,,
0.01566,0.01566,,0.01566,1.5663,,0.000300,,
0.01568,0.01568,,0.01568,1.5683,,0.000300,,
0.0157,0.0157,,0.0157,1.5703,,0.000300,,
0.01572,0.01572,,0.01572,1.5723,,0.000300,,
0.01574,0.01574,,0.01574,1.5743,,0.000300,,
0.01576,0.01576,,0.01576,1.5763,,0.000300,,
0.01578,0.01578,,0.01578,1.5783,,0.000300,,
0.0158,0.0158,,0.0158,1.5803,,0.000300,,
0.01582,0.01582,,0.01582,1.5823,,0.000300,,
0.01584,0.01584,,0.01584,1.5843,,0.000300,,
0.01586,0.01586,,0.01586,1.5863,,0.000300,,
0.01588,0.01588,,0.01588,1.5883,,0.000300,,
0.0159,0.0159,,0.0159,1.5903,,0.000300,,
0.01592,0.01592,,0.01592,1.5923,,0.000300,,
0.01594,0.01594,,0.01594,1.5943,,0.000300,,
0.01596,0.01596,,0.01596,1.5963,,0.000300,,
0.01598,0.01598,,0.01598,1.5983,,0.000300,,
0.016,0.016,,0.016,1.6003,,0.000300,,
0.01602,0.01602,,0.01602,1.6023,,0.000300,,
0.01604,0.01604,,0.01604,1.6043,,0.000300,,
0.01606,0.01606,,0.01606,1.6063,,0.000300,,
0.01608,0.01608,,0.01608,1.6083,,0.000300,,
0.0161,0.0161,,0.0161,1.6103,,0.000300,,
0.01612,0.01612,,0.01612,1.6123,,0.000300,,
0.01614,0.01614,,0.01614,1.6143,,0.000300,,
0.01616,0.01616,,0.01616,1.6163,,0.000300,,
0.01618,0.01618,,0.01618,1.6183,,0.000300,,
0.0162,0.0162,,0.0162,1.6203,,0.000300,,
0.01622,0.01622,,0.01622,1.6223,,0.000300,,
0.01624,0.01624,,0.01624,1.6243,,0.000300,,
0.01626,0.01626,,0.01626,1.6263,,0.000300,,
0.01628,0.01628,,0.01628,1.6283,,0.000300,,
0.0163,0.0163,,0.0163,1.6303,,0.000300,,
0.01632,0.01632,,0.01632,1.6323,,0.000300,,
0.01634,0.01634,,0.01634,1.6343,,0.000300,,
0.01636,0.01636,,0.01636,1.6363,,0.000300,,
0.01638,0.01638,,0.01638,1.6383,,0.000300,,
0.0164,0.0164,,0.0164,1.6403,,0.000300,,
0.01642,0.01642,,0.01642,1.6423,,0.000300,,
0.01644,0.01644,,0.01644,1.6443,,0.000300,,
0.01646,0.01646,,0.01646,1.6463,,0.000300,,
0.01648,0.01648,,0.01648,1.6483,,0.000300,,
0.0165,0.0165,,0.0165,1.6503,,0.000300,,
0.01652,0.01652,,0.01652,1.6523,,0.000300,,
0.01654,0.01654,,0.01654,1.6543,,0.000300,,
0.01656,0.01656,,0.01656,1.6563,,0.000300,,
0.01658,0.01658,,0.01658,1.6583,,0.000300,,
0.0166,0.0166,,0.0166,1.6603,,0.000300,,
0.01662,0.01662,,0.01662,1.6623,,0.000300,,
0.01664,0.01664,,0.01664,1.6643,,0.000300,,
0.01666,0.01666,,0.01666,1.6663,,0.000300,,
0.01668,0.01668,,0.01668,1.6683,,0.000300,,
0.0167,0.0167,,0.0167,1.6703,,0.000300,,
0.01672,0.01672,,0.01672,1.6723,,0.000300,,
0.01674,0.01674,,0.01674,1.6743,,0.000300,,
0.01676,0.01676,,0.01676,1.6763,,0.000300,,
0.01678,0.01678,,0.01678,1.6783,,0.000300,,
0.0168,0.0168,,0.0168,1.6803,,0.000300,,
